calc.pystock symbol,stock price,start date,end date,closest call strike,closest put strike,expected move,upper expected move,lower expected move,potential move,upper potential move,lower potential move,error
AAPL,115.32,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.0,0.0,0.0,115.32,115.32,0.0,115.32,115.32,
BA,148.29,29 Oct 2020 20:00:11,2020-11-05 20:00:11,0.0,0.0,0.0,148.29,148.29,0.0,148.29,148.29,
BRK-B,201.51,29 Oct 2020 20:03:20,2020-11-05 20:03:20,0.0,0.0,0.0,201.51,201.51,0.0,201.51,201.51,
DIS,121.54,29 Oct 2020 20:04:26,2020-11-05 20:04:26,0.0,0.0,0.0,121.54,121.54,0.0,121.54,121.54,
GE,7.37,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,7.37,7.37,0.0,7.37,7.37,
HD,269.63,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,269.63,269.63,0.0,269.63,269.63,
NKE,122.86,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,122.86,122.86,0.0,122.86,122.86,
SBUX,88.3,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.0,0.0,0.0,88.3,88.3,0.0,88.3,88.3,
VZ,56.76,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,56.76,56.76,0.0,56.76,56.76,
MAR,93.33,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.0,0.0,0.0,93.33,93.33,0.0,93.33,93.33,
VOO,303.32,29 Oct 2020 20:00:00,2020-11-05 20:00:00,0.0,0.0,0.0,303.32,303.32,0.0,303.32,303.32,
EXPE,95.22,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,95.22,95.22,0.0,95.22,95.22,
WORK,26.74,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,26.74,26.74,0.0,26.74,26.74,
TSLA,410.83,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.0,0.0,0.0,410.83,410.83,0.0,410.83,410.83,
FUV,5.81,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.0,0.0,0.0,5.81,5.81,0.0,5.81,5.81,
CAR,36.7,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.0,0.0,0.0,36.7,36.7,0.0,36.7,36.7,
XYL,86.86,29 Oct 2020 20:04:10,2020-11-05 20:04:10,0.0,0.0,0.0,86.86,86.86,0.0,86.86,86.86,
UBER,34.06,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,34.06,34.06,0.0,34.06,34.06,
GOOG,1567.24,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,1567.24,1567.24,0.0,1567.24,1567.24,
HLT,86.51,29 Oct 2020 20:03:54,2020-11-05 20:03:54,0.0,0.0,0.0,86.51,86.51,0.0,86.51,86.51,
FB,280.83,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,280.83,280.83,0.0,280.83,280.83,
NKLA,19.79,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.0,0.0,0.0,19.79,19.79,0.0,19.79,19.79,
BETZ,19.59,29 Oct 2020 20:00:00,2020-11-05 20:00:00,0.0,0.0,0.0,19.59,19.59,0.0,19.59,19.59,
