stock symbol,stock price,start date,end date,closest call strike,closest put strike,expected move,upper expected move,lower expected move,potential move,upper potential move,lower potential move,error
AAPL,115.32,29 Oct 2020 20:00:02,2020-11-05 20:00:02,3.86,4.7,8.56,123.88,106.76,11.14,126.46,104.18,
BA,148.29,29 Oct 2020 20:00:11,2020-11-05 20:00:11,5.175,4.875,10.05,158.34,138.24,13.15,161.44,135.14,
BRK-B,201.51,29 Oct 2020 20:03:20,2020-11-05 20:03:20,3.7,3.81,7.51,209.02,194.0,10.23,211.74,191.28,
DIS,121.54,29 Oct 2020 20:04:26,2020-11-05 20:04:26,3.16,3.01,6.17,127.71,115.37,8.09,129.63,113.45,
GE,7.37,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.22,0.345,0.56,7.94,6.8,0.78,8.15,6.59,
HD,269.63,29 Oct 2020 20:00:01,2020-11-05 20:00:01,6.74,5.4,12.14,281.77,257.49,15.95,285.58,253.68,
NKE,122.86,29 Oct 2020 20:00:01,2020-11-05 20:00:01,2.75,2.855,5.61,128.47,117.25,7.31,130.17,115.55,
SBUX,88.3,29 Oct 2020 20:00:02,2020-11-05 20:00:02,2.62,2.765,5.38,93.69,82.91,7.12,95.42,81.18,
VZ,56.76,29 Oct 2020 20:00:01,2020-11-05 20:00:01,0.7250000000000001,0.87,1.6,58.35,55.16,2.14,58.9,54.62,
MAR,93.33,29 Oct 2020 20:00:02,2020-11-05 20:00:02,3.775,3.6,7.38,100.7,85.95,9.71,103.04,83.62,
VOO,303.32,29 Oct 2020 20:00:00,2020-11-05 20:00:00,11.03,9.47,20.5,323.82,282.82,26.42,329.74,276.9,
EXPE,95.22,29 Oct 2020 20:00:01,2020-11-05 20:00:01,5.375,5.1,10.47,105.69,84.75,13.91,109.13,81.31,
WORK,26.74,29 Oct 2020 20:00:01,2020-11-05 20:00:01,1.06,0.815,1.88,28.61,24.86,2.5,29.24,24.24,
TSLA,410.83,29 Oct 2020 20:00:02,2020-11-05 20:00:02,14.25,14.59,28.84,439.67,381.99,37.76,448.59,373.07,
FUV,5.81,29 Oct 2020 20:00:02,2020-11-05 20:00:02,0.69,1.2,1.89,7.7,3.92,2.37,8.18,3.44,
CAR,36.7,29 Oct 2020 20:00:02,2020-11-05 20:00:02,3.1,3.35,6.45,43.15,30.25,8.43,45.13,28.27,
XYL,86.86,29 Oct 2020 20:04:10,2020-11-05 20:04:10,3.33,4.0,7.33,94.19,79.53,9.37,96.23,77.49,
UBER,34.06,29 Oct 2020 20:00:01,2020-11-05 20:00:01,1.85,1.7850000000000001,3.64,37.7,30.43,4.72,38.78,29.34,
GOOG,1567.24,29 Oct 2020 20:00:01,2020-11-05 20:00:01,50.95,54.4,105.35,1672.59,1461.89,135.77,1703.01,1431.47,
HLT,86.51,29 Oct 2020 20:03:54,2020-11-05 20:03:54,4.75,4.45,9.2,95.71,77.31,11.88,98.39,74.63,
FB,280.83,29 Oct 2020 20:00:01,2020-11-05 20:00:01,11.66,12.56,24.22,305.05,256.61,31.34,312.17,249.49,
NKLA,19.79,29 Oct 2020 20:00:01,2020-11-05 20:00:01,1.2,1.425,2.62,22.41,17.16,3.42,23.21,16.37,
BETZ,19.59,29 Oct 2020 20:00:00,2020-11-05 20:00:00,0.9,0.76,1.66,21.25,17.93,2.19,21.78,17.4,
SPCE,18.18,29 Oct 2020 20:00:02,2020-11-05 20:00:02,1.2349999999999999,1.06,2.29,20.48,15.88,3.03,21.21,15.15,
CARR,34.07,29 Oct 2020 20:00:01,2020-11-05 20:00:01,1.475,1.475,2.95,37.02,31.12,3.8,37.87,30.27,
QQQ,276.39,29 Oct 2020 20:00:02,2020-11-05 20:00:02,7.17,7.52,14.69,291.08,261.7,19.07,295.46,257.32,
NTAP,44.11,29 Oct 2020 20:00:02,2020-11-05 20:00:02,1.28,1.1400000000000001,2.42,46.53,41.69,3.47,47.58,40.64,
NFLX,504.21,29 Oct 2020 20:00:02,2020-11-05 20:00:02,16.02,15.57,31.59,535.8,472.62,41.7,545.91,462.51,
AMD,78.02,29 Oct 2020 20:00:02,2020-11-05 20:00:02,2.505,2.5149999999999997,5.02,83.04,73.0,6.58,84.6,71.44,
NVDA,520.96,29 Oct 2020 20:00:01,2020-11-05 20:00:01,15.85,15.67,31.52,552.48,489.44,40.9,561.86,480.06,
CRSP,96.35,29 Oct 2020 20:00:01,2020-11-05 20:00:01,4.3,4.25,8.55,104.9,87.8,11.03,107.38,85.32,
